VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-06-09 17:17:32,2020-06-09 17:27:34,1,2.80,1,N,100,231,1,10.5,3.5,0.5,1,0,0.3,15.8,2.5
2,2020-06-02 19:29:16,2020-06-02 19:53:45,3,10.48,1,N,170,95,1,32,1,0.5,3,0,0.3,39.3,2.5
2,2020-06-25 06:00:29,2020-06-25 06:08:58,1,4.01,1,N,262,107,1,12.5,0,0.5,3.16,0,0.3,18.96,2.5
2,2020-06-28 21:43:25,2020-06-28 21:54:48,2,2.85,1,N,239,246,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5
2,2020-06-16 18:59:35,2020-06-16 19:08:45,1,2.22,1,N,140,239,1,9,1,0.5,2.5,0,0.3,15.8,2.5
1,2020-06-15 17:11:39,2020-06-15 17:30:38,1,3.50,1,N,68,79,2,15,2.5,0.5,0,0,0.3,18.3,2.5
2,2020-06-23 13:49:22,2020-06-23 13:53:13,1,.55,1,N,141,141,2,4.5,0,0.5,0,0,0.3,7.8,2.5
2,2020-06-30 08:38:33,2020-06-30 08:57:47,1,3.60,1,N,231,137,2,15,0,0.5,0,0,0.3,18.3,2.5
1,2020-06-26 00:01:45,2020-06-26 00:14:30,1,3.50,1,N,164,262,1,13,3,0.5,5,0,0.3,21.8,2.5
,2020-06-07 01:15:00,2020-06-07 01:15:00,,.11,,,138,138,,22.51,0,0.5,0,0,0.3,23.31,0
2,2020-06-24 09:46:10,2020-06-24 09:53:20,1,1.07,1,N,142,239,1,7,0,0.5,2.06,0,0.3,12.36,2.5
